species,country,year,variety,colour,processing_method,aroma,flavour,aftertaste,acidity,body,balance,uniformity,sweetness,moisture
Arabica,Ethiopia,2014,,Green,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,0.12
Arabica,Ethiopia,2014,Other,Green,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,0.12
Arabica,Guatemala,,Bourbon,,,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,0.0
Arabica,Ethiopia,2014,,Green,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,0.11
Arabica,Ethiopia,2014,Other,Green,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,0.12
Arabica,Brazil,2013,,Bluish-Green,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,0.11
Arabica,Peru,2012,Other,Bluish-Green,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,0.11
Arabica,Ethiopia,2010,,,,8.25,8.33,8.5,8.42,8.33,8.5,10.0,9.33,0.03
Arabica,Ethiopia,2010,,,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,9.33,0.03
Arabica,Ethiopia,2014,Other,Green,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,0.1
Arabica,Ethiopia,2014,,,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,0.1
Arabica,United States,2014,Other,,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,0.0
Arabica,United States,2014,Other,,Washed / Wet,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,0.0
Arabica,United States,2009,,,,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,0.0
Arabica,Ethiopia,2010,,,,8.25,8.33,8.5,8.25,8.58,8.75,9.33,9.33,0.05
Arabica,United States,2014,Other,,Washed / Wet,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,0.0
Arabica,Indonesia,,,,,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,0.03
Arabica,Ethiopia,2009,,,,8.17,8.33,8.25,8.33,8.42,8.33,9.33,9.33,0.05
Arabica,China,2015,Catimor,Green,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,0.1
Arabica,Ethiopia,2014,Ethiopian Yirgacheffe,,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,0.0
Arabica,United States,2014,Other,None,Washed / Wet,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,0.0
Arabica,Costa Rica,2014,Caturra,Green,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,0.11
Arabica,Mexico,2012,Other,Green,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,0.13
Arabica,United States,2014,Other,,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,0.0
Arabica,Ethiopia,2013,,Bluish-Green,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,0.11
Arabica,Brazil,2011,Bourbon,Green,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,0.12
Arabica,Ethiopia,2009,,,,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,0.05
Arabica,Uganda,2013,SL14,Green,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,0.12
Arabica,Honduras,2016,Caturra,Green,,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,0.1
Arabica,Taiwan,2015,Sumatra,Green,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,0.0
Arabica,Nicaragua,,,,,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,0.08
Arabica,Tanzania,2012,,Bluish-Green,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,0.11
Arabica,Brazil,2011,Bourbon,Green,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,0.12
Arabica,Costa Rica,2015,Caturra,Blue-Green,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,0.0
Arabica,Ethiopia,2014,,Green,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,0.1
Arabica,Kenya,2013,SL34,Blue-Green,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,0.12
Arabica,United States,2012,Hawaiian Kona,,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,0.0
Arabica,United States,2010,,,,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,0.0
Arabica,Ethiopia,2009,,,,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,0.1
Arabica,United States,2014,Other,,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,0.0
Arabica,Thailand,2012,Caturra,Green,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,0.1
Arabica,Brazil,2010,Yellow Bourbon,,,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,0.08
Arabica,Brazil,2010,Yellow Bourbon,,,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,0.01
Arabica,Taiwan,2015,Bourbon,Green,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,0.12
Arabica,Kenya,2014,SL28,Bluish-Green,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,0.11
Arabica,Brazil,2011,Bourbon,Blue-Green,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,0.11
Arabica,Uganda,2014,,,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,0.0
Arabica,Colombia,2013,Caturra,Green,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,0.12
Arabica,Kenya,2013,SL28,Green,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,0.11
Arabica,Uganda,2012,Other,Blue-Green,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,0.1
Arabica,Ethiopia,2009,,,,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,0.01
Arabica,United States,2009,,,,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,0.0
Arabica,Guatemala,2016,Bourbon,Green,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,0.1
Arabica,Uganda,2013,SL14,Green,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,0.12
Arabica,Colombia,2013,Caturra,Blue-Green,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,0.0
Arabica,Panama,2017,Gesha,Bluish-Green,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,0.08
Arabica,Ethiopia,2014,,Green,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,0.1
Arabica,Guatemala,2012,Bourbon,Green,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,0.12
Arabica,Guatemala,2012,Catuai,Bluish-Green,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,0.1
Arabica,Ethiopia,2017,Caturra,None,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,0.09
Arabica,Peru,2013,,Green,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,0.1
Arabica,Papua New Guinea,2012,,Bluish-Green,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,9.33,10.0,0.12
Arabica,El Salvador,2013,Bourbon,Blue-Green,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,0.1
Arabica,El Salvador,2012,Bourbon,None,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,0.11
Arabica,United States,2012,Hawaiian Kona,,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,0.0
Arabica,Panama,2014,Caturra,,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,0.09
Arabica,Kenya,2014,SL28,Green,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,0.1
Arabica,Ethiopia,2015,Other,Green,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,0.12
Arabica,Uganda,2013,SL14,Green,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,0.12
Arabica,Guatemala,2013,Bourbon,Green,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,0.11
Arabica,Ethiopia,2015,,Green,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,0.1
Arabica,Uganda,2013,SL14,Green,Washed / Wet,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,0.12
Arabica,United States,2012,Hawaiian Kona,,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,0.0
